"","cohort","mouse","day","protein"
"570",53,"mouse4","day13",9.657978501
"571",53,"mouse4","day5",11.54295621
"572",53,"mouse4","day2",11.2726112
"573",53,"mouse4","pair2",15.55636786
"574",53,"mouse4","day19",9.882402784
"575",53,"mouse4","day10",9.745835014
"576",53,"mouse4","day11",10.23197137
"577",53,"mouse4","day4",11.30811513
"578",53,"mouse4","day9",10.25420064
"579",53,"mouse4","pair3",14.02108915
"580",53,"mouse4","day1",9.28462232
"581",53,"mouse4","day12",10.27644253
"582",54,"mouse4","day3",10.02818631
"583",54,"mouse4","day6",8.843502139
"584",54,"mouse4","day7",8.489037939
"585",54,"mouse4","pair1",9.165646382
"586",54,"mouse4","day9",8.588499335
"587",54,"mouse4","day5",9.704757007
"588",54,"mouse4","pair3",8.545616751
"589",54,"mouse4","day1",9.185832003
"590",54,"mouse4","day15",13.08783357
"591",54,"mouse4","pair2",2.124342055
"592",54,"mouse4","day11",8.260228523
"593",54,"mouse4","day2",9.616864141
"594",54,"mouse4","day4",9.864307966
"595",54,"mouse4","day13",12.69051749
"596",54,"mouse4","day19",13.30904687
"597",54,"mouse4","day17",11.65225225
"598",55,"mouse4","day5",9.830985333
"599",55,"mouse4","day4",8.767452317
"600",55,"mouse4","day6",10.08598729
"601",55,"mouse4","day9",11.47636114
"602",55,"mouse4","day1",9.684027839
"603",55,"mouse4","day7",7.89066506
"604",55,"mouse4","pair3",NA
"605",55,"mouse4","pair2",NA
"606",55,"mouse4","day11",NA
"607",55,"mouse4","pair1",NA
"608",55,"mouse4","day15",9.614687956
"609",55,"mouse4","day17",10.40700104
"610",55,"mouse4","day13",NA
"611",55,"mouse4","day3",8.354090062
"612",55,"mouse4","day2",9.7258847
"613",55,"mouse4","day19",13.84757002
"614",56,"mouse4","day2",11.81349123
"615",56,"mouse4","pair1",6.610050028
"616",56,"mouse4","day3",11.658013
"617",56,"mouse4","day4",10.00670975
"618",56,"mouse4","pair2",3.124049608
"619",56,"mouse4","pair3",9.712221229
"620",56,"mouse4","day1",10.51616101
"621",56,"mouse4","day7",9.831042944
"622",56,"mouse4","day9",10.36223257
"623",56,"mouse4","day5",8.594814269
"624",56,"mouse4","day6",11.02319649
"625",56,"mouse4","day19",17.84572068
"626",56,"mouse4","day13",14.32984396
"627",56,"mouse4","day15",16.11078968
"628",56,"mouse4","day11",10.14437304
"629",56,"mouse4","day17",15.6278514
"630",57,"mouse4","pair2",8.89395069149742
"631",57,"mouse4","pair3",9.39335352978377
"632",57,"mouse4","pair1",11.9789668507864
"633",57,"mouse4","day11",9.63780394767689
"634",57,"mouse4","day3",9.57400328468126
"635",57,"mouse4","day13",8.77094439595105
"636",57,"mouse4","day1",9.28194151416809
"637",57,"mouse4","day2",9.83833309778843
"638",57,"mouse4","day9",8.68495937699031
"639",57,"mouse4","day5",9.29140059132243
"640",57,"mouse4","day15",8.63994277634134
"641",57,"mouse4","day17",8.32902807103295
